"","phys_ID","field_ID","PIT","sex","beads","site","SVL_mm","mass_g","tail_length_mm","date_caught","month_caught","tail_break","tail_break_num","parasites","parasite.num","total_follicles","fol_left","fol_right","size_left_cm","size_right_cm","glucose","comments","radio_tracker_serial_num","bka","drom","oxy","cort","t","calcSVL","BCI_fem"
"1",6,1206,"989 001030263063",2,"BO:OB","GR",200,459,"154+114","4/5/2022","april","Y",1,"Y",1,11,5,6,1.14,0.98,222,"na","259711",77.05882353,18.14738824,349.319797,47.887,6.024,200.19813,-0.198129999999992
"2",8,1208,"989 001030263065",2,"Ag:Ag","GR",209,394,"143+82","4/5/2022","april","Y",1,"Y",1,7,4,3,1.21,1.38,271,"na","259712",84.95660559,12.61703529,356.9137056,44.78,12.368,186.98818,22.01182
"3",15,1215,"989 001030263030",2,"AgBr:BrAg","M",164,175,"303","4/6/2022","april","N",0,"Y",1,NA,NA,NA,NA,NA,221,"na","na",NA,2.642823529,352.7715736,114.03,5.237,142.48081,21.51919
"4",16,1216,"989 001030263092",2,"AgB:BAg","M",184,312,"262","4/6/2022","april","N",0,"N",0,6,3,3,1.1,1.5,188,"na","259713",65.80520733,13.18475294,353.1167513,35.58,2.309,170.32332,13.67668
"5",22,1222,"989 001030263040",2,"LgY:YLg","M",183,294,"301","4/7/2022","april","N",0,"Y",1,4,2,2,0.67,0.59,167,"","259714",42.16972035,10.35595294,340,106.3,7.915,166.66518,16.33482
"6",23,1223,"989 001030263102 ",2,"BO:OB","M",135,122,"98+108","4/7/2022","april","Y",1,"Y",1,NA,NA,NA,NA,NA,NA,"no blood","na",NA,NA,NA,NA,NA,131.70962,3.29038
"7",29,1023,"0A181E1634",2,"AuB:BAu","GL",245,630,"297+0","4/8/2022","april","Y",1,"Y",1,18,9,9,0.98,1.08,179,"","259715",82.06364513,16.68894118,349.6649746,8.027,6.195,234.95046,10.04954
"8",30,1229,"0A1409240",2,"AuAuG:GAuAu ","GL",239,610,"198+149","4/8/2022","april","Y",1,"Y",1,15,6,9,1.46,1.43,173,"","259716",48.70781099,11.86334118,349.319797,63.009,3.103,230.88586,8.11414000000002
"9",32,1230,"0A14092C41",2,"BO:OB","GL",228,707,"380+24","4/9/2022","april","Y",1,"Y",1,15,7,8,1.68,1.56,165,"","259717",88.22565092,10.80621176,337.5837563,7.206,NA,250.59917,-22.59917
"10",33,1233,"0A14092C28",2,"OR:RO","GR",215,445,"150+104","4/9/2022","april","Y",1,"N",0,11,6,5,1.1,1.18,155,"","259718",84.08871745,11.16837647,350.3553299,48.802,5.591,197.35291,17.64709
"11",37,1234,"0A14092C18",2,"BAg:AgB ","GL",229,615,"210+97","4/10/2022","april","Y",1,"Y",1,18,10,8,1.4,1.46,176,"radio on the right side","259719",35.86306654,10.85515294,349.4654788,83.499,NA,231.90201,-2.90200999999999
"12",41,1237,"0A14092C26",2,"OR:RO","GR",204,487,"92+103","4/10/2022","april","Y",1,"Y",1,9,4,5,1.32,1.21,180,"eating green seeds from sesa grape (?)","259720",63.95371263,9.866541176,346.8151448,85.252,1.564,205.88857,-1.88857000000002
"13",46,1242,"0A14092C52",2,"GG:GG","GR",215,555,"125+98","4/12/2022","april","Y",1,"Y",1,14,5,9,1.64,1.68,197,"","259729",42.80691474,9.773089343,348.7082405,96.765,87.106,219.70821,-4.70821000000001
"14",47,1243,"0A14092C38",2,"GW:WG","GR",230,588,"136+167","4/12/2022","april","Y",1,"Y",1,11,5,6,2.23,2.4,136,"","259730",37.62086141,NA,350.6013363,NA,NA,226.4148,3.58519999999999
"15",49,1245,"0A14092C21",2,"AuG:GAu","M",66,190,"315","4/13/2022","april","N",0,"Y",1,0,0,0,0,0,202,"parasites in nose but no ticks","",26.19396425,5.339935414,352.1158129,65.081,5.54,145.52926,-79.52926
"16",52,1248,"0A14092C05",2,"AuB:BAu","M",88,316,"340","4/15/2022","april","N",0,"Y",1,2,2,0,0.8,0,143,"nose parasite and ticks on legs and vent","259728",NA,NA,NA,NA,NA,171.13624,-83.13624
"17",56,1276,"989 001030263055",2,"AuLg:LgAu","GR",161,154,"91+0","5/8/2022","may","Y",1,"N",0,0,0,0,0,0,193,"lost tail in bag","",23.41048931,5.474273412,344.5434298,60.324,6.593,138.21298,22.78702
"18",60,1278,"",2,"AuW:WAu ","M",124,74,"185+28","5/9/2022","may","Y",1,"Y",1,NA,NA,NA,NA,NA,192,"nose parasites, too small for PIT","",31.93671257,NA,347.1937639,NA,NA,121.95458,2.04542000000001
"19",63,1281,"989 001030263095",2,"AuAuO:OAuAu","GL",241,654,"254+0","5/11/2022","may","Y",1,"Y",1,14,8,6,3.48,3.05,156,"Ticks","",34.13419279,3.694294941,346.8151448,92.198,4.457,239.82798,1.17202
"20",71,1286,"",2,"BB:BB","M",143,94,"224","5/12/2022","may","N",0,"Y",1,0,0,0,0,0,208,"nose parasites, too small for PIT","",31.99531204,4.914531755,347.5723831,69.172,4.749,126.01918,16.98082
"21",81,1295,"989 001030263069",2,"GBr:BrG","M",197,314,"139+117","5/14/2022","may","Y",1,"Y",1,12,7,5,1.76,1.57,149,"nose parasites","",65.39701143,4.410764263,351.7371938,84.301,6.195,170.72978,26.27022
"22",85,1299,"6C00064872",2,"AuAuO:OAuAu","GL",231,564,"128+51+39","5/16/2022","may","Y",1,"Y",1,11,6,5,2.57,2.99,157,"had PIT but could not locate record, gave it new beads and new field ID. Nose parasites and ticks","",34.92528567,1.287405813,353.1509434,90.866,8.921,221.53728,9.46271999999999
